,host_listings_count,longitude,beds,host_neighbourhood_is_na,summary_is_na,license_is_na,property_type_other,"host_verifications_['email', 'phone']",room_type_Private room,price
136,2.0,13.443535575558268,1.0,False,False,True,0,0,1,28.0
137,1.0,13.325485827876976,1.0,False,False,True,0,0,0,60.0
138,1.0,13.455291061282368,2.0,False,False,True,0,0,0,85.0
139,1.0,13.44206435136562,1.0,False,True,True,0,0,0,69.0
140,1.0,13.587125183781572,2.0,False,False,True,0,0,0,33.0
141,5.0,13.428845666889856,1.0,True,False,True,0,0,1,29.0
142,2.0,13.43701678770357,1.0,False,False,True,0,0,1,22.0
143,1.0,13.424189603335789,1.0,True,False,True,0,1,0,59.0
144,1.0,13.386265835083757,2.0,False,False,True,0,0,0,80.0
145,1.0,13.429389444646162,1.0,False,False,True,0,0,1,30.0
146,1.0,13.34327917937435,1.0,False,False,True,0,0,1,55.0
147,1.0,13.30873942623608,1.0,False,False,True,0,0,1,75.0
148,1.0,13.363825443157635,1.0,False,False,True,0,0,0,55.0
149,1.0,13.3428148809891,1.0,False,False,True,0,0,1,39.0
150,1.0,13.38490740233719,1.0,False,False,True,0,0,1,35.0
151,18.0,13.380854047597197,1.0,False,False,True,0,0,0,120.0
152,4.0,13.429534019533216,1.0,False,False,True,0,0,1,18.0
153,3.0,13.425011277524568,1.0,False,False,True,0,0,0,45.0
154,1.0,13.301493657256994,1.0,False,False,True,0,1,1,20.0
155,1.0,13.444389918729994,1.0,False,False,True,0,0,0,40.0
156,1.0,13.45907991387388,2.0,False,False,True,0,1,0,85.0
157,1.0,13.452136886729136,1.0,False,False,True,0,0,1,15.0
158,1.0,13.450431067341087,1.0,False,False,True,0,0,1,30.0
159,1.0,13.396110381062446,1.0,False,False,True,0,0,0,78.0
160,1.0,13.34630127441801,2.0,False,False,True,0,0,1,35.0
161,1.0,13.348242273967431,1.0,False,False,True,0,0,1,40.0
162,1.0,13.386582238682065,2.0,False,False,True,0,0,0,100.0
163,59.0,13.34750779406118,2.0,True,False,True,0,0,0,42.0
164,1.0,13.33229367506088,1.0,False,False,True,0,0,1,39.0
165,1.0,13.439886814914168,1.0,True,False,True,0,0,1,18.0
166,1.0,13.309344018107646,3.0,False,False,True,0,1,0,95.0
167,1.0,13.34144819749707,2.0,True,False,True,0,0,0,60.0
168,1.0,13.36819539424641,1.0,False,False,True,0,0,1,80.0
169,43.0,13.425784890034533,6.0,False,False,True,1,0,0,29.0
170,2.0,13.38743394835917,1.0,False,False,True,0,0,1,46.0
171,1.0,13.427898257634412,1.0,False,False,True,0,1,1,37.0
172,1.0,13.354839817462153,1.0,False,False,True,0,0,1,35.0
173,1.0,13.428955649642985,2.0,True,False,True,0,0,1,45.0
174,1.0,13.465936221150168,1.0,False,False,True,0,0,1,35.0
175,1.0,13.444344225426589,1.0,False,False,True,0,0,1,13.0
176,1.0,13.425846587987833,2.0,False,False,True,0,1,0,85.0
177,1.0,13.441916847147553,1.0,False,False,True,0,0,1,30.0
178,1.0,13.57106144337641,2.0,False,False,True,0,0,1,25.0
179,1.0,13.473291957935741,1.0,True,False,True,0,0,0,76.0
180,1.0,13.390026569269951,1.0,False,False,True,0,1,1,25.0
181,2.0,13.394657219905277,1.0,False,False,True,0,0,1,29.0
182,1.0,13.41053813864557,1.0,False,False,True,0,0,1,19.0
183,2.0,13.471766040982148,1.0,False,False,True,0,0,1,25.0
184,2.0,13.42593551412092,1.0,False,False,True,0,0,1,16.0
185,1.0,13.442659139503613,1.0,False,False,True,0,0,0,43.0
186,1.0,13.445469148689227,2.0,False,False,True,0,0,0,100.0
187,1.0,13.417938012695597,4.0,False,False,True,0,0,0,100.0
188,1.0,13.375894882128522,3.0,False,False,True,0,0,0,78.0
189,1.0,13.200735006065884,1.0,False,False,True,0,0,0,24.0
190,4.0,13.414409170435635,4.0,True,False,True,0,0,0,132.0
